conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.9023542302347308e+18,Wed Mar 19 13:39:27 +0000 2025,0,"BAHAYA BANGET NIH..! Pabrik Skincare Ilegal di Tangsel Digerebek BPOM, Ditemukan Ribuan Produk Berbahaya https://t.co/mncCGbL0ov lewat @BERGELORA.COM https://t.co/DIYvK8dmkp",1.9023542302347308e+18,https://pbs.twimg.com/media/GmaFF0PaMAAw25X.jpg,,in,,0,0,0,https://x.com/bergeloralah/status/1902354230234730663,1.2845183948808643e+18,bergeloralah
1.90234956974225e+18,Wed Mar 19 13:20:56 +0000 2025,0,Video BPOM Gerebek Pabrik Skincare Ilegal di Tangsel https://t.co/pTeLjJY3fg,1.90234956974225e+18,,,in,,0,0,0,https://x.com/20detik/status/1902349569742250039,598959076.0,20detik
1.8997414025834747e+18,Wed Mar 12 08:37:00 +0000 2025,2,"Masyarakat diminta aktif melaporkan skincare ilegal. BPOM temukan 91 merek berbahaya. Konsumen disarankan konsultasi dan beli di toko resmi.
https://t.co/JnlDSfi4mQ",1.8997414025834747e+18,,,in,,0,1,0,https://x.com/detikcom/status/1899741402583474567,69183155.0,detikcom
1.8997388856741727e+18,Wed Mar 12 08:27:00 +0000 2025,1,"Masyarakat diminta aktif melaporkan skincare ilegal. BPOM temukan 91 merek berbahaya. Konsumen disarankan konsultasi dan beli di toko resmi.
https://t.co/moBlQbFO5k",1.8997388856741727e+18,,,in,,0,0,1,https://x.com/detikHealth/status/1899738885674172600,104446991.0,detikHealth
1.8979872755162358e+18,Fri Mar 07 12:26:44 +0000 2025,0,Skincare nya BPOM ilegal malah ngelaporin produk orang nih #TangkapRezaGladys #BPOMPalsuRG https://t.co/McO8cBW0rc,1.8979872755162358e+18,https://pbs.twimg.com/media/GlcBW6YbwAI5myS.jpg,,in,,0,0,0,https://x.com/liasafitri4810/status/1897987275516235832,1.8529826263507763e+18,liasafitri4810
1.897981367788749e+18,Fri Mar 07 12:03:15 +0000 2025,0,"Masyarakat berhak mendapatkan produk yang aman dan legal!
Skincare ilegal dengan BPOM bodong bukan cuma merugikan, tapi juga membahayakan kesehatan! #TangkapRezaGladys #BPOMPalsuRG https://t.co/mP9l2KOSG3",1.897981367788749e+18,https://pbs.twimg.com/media/Glb7y9CbwAI6DW8.jpg,,in,,0,0,0,https://x.com/Luckyarums/status/1897981367788748951,1.6077364335357501e+18,Luckyarums
1.8979802799666258e+18,Fri Mar 07 11:58:56 +0000 2025,1,kayaknya ini bakalan jadi skandal skincare terbesar deh! produknya ilegal kandungannya juga ga sesuai sama bpom hadeuhhh... #TangkapRezaGladys #BPOMPalsuRG https://t.co/64F08Yni4z,1.8979802799666258e+18,https://pbs.twimg.com/media/Glb6_3DbwAIV-X7.jpg,,in,,0,0,0,https://x.com/nadiaftsya/status/1897980279966625799,1.6837341335148298e+18,nadiaftsya
1.8949531087464453e+18,Thu Feb 27 03:30:02 +0000 2025,4,BPOM mengumumkan penarikan 91 merek kosmetik dan skincare ilegal yang mengandung bahan berbahaya https://t.co/TWaHOU7Bbt,1.8949531087464453e+18,,,in,,0,0,6,https://x.com/tempodotco/status/1894953108746445241,18129942.0,tempodotco
1.8946579055147418e+18,Wed Feb 26 07:57:00 +0000 2025,1,Hati-hati! Media sosial ramai dengan temuan skincare ilegal. BPOM RI melaporkan peningkatan produk berbahaya. https://t.co/bdcpl1hmY0,1.8946579055147418e+18,,,in,,0,0,1,https://x.com/detikcom/status/1894657905514741773,69183155.0,detikcom
1.894657905401762e+18,Wed Feb 26 07:57:00 +0000 2025,0,"Hati-hati! Media sosial ramai dengan temuan skincare ilegal. BPOM RI melaporkan peningkatan produk berbahaya.
https://t.co/vbc9dF3w56",1.894657905401762e+18,,,in,,0,0,0,https://x.com/detikHealth/status/1894657905401761979,104446991.0,detikHealth
